Date,Total Daily Amount
2022-03-28,1864480.0
2022-03-29,1291990.0
2022-03-30,1477360.0
2022-03-31,1589810.0
2022-04-01,170010.0
2022-04-02,167470.0
2022-04-03,177560.0
2022-04-04,850620.0
2022-04-05,380350.0
2022-04-06,73430.0
2022-04-07,383541.0
2022-04-08,301493.0
2022-04-09,36530.0
2022-04-10,390028.0
2022-04-13,413910.0
2022-04-14,506020.0
2022-04-15,103070.0
2022-04-16,61140.0
2022-04-17,36650.0
2022-04-18,209550.0
2022-04-19,525430.0
2022-04-20,429680.0
2022-04-21,620190.0
2022-04-22,389200.0
2022-04-23,71480.0
2022-04-24,38870.0
2022-04-25,487900.0
2022-04-26,637040.0
2022-04-27,409640.0
2022-04-28,501160.0
2022-04-29,102880.0
2022-04-30,61850.0
2022-05-01,167200.0
2022-05-02,85510.0
2022-05-03,83960.0
2022-05-04,655630.0
2022-05-05,2735085.0
2022-05-06,42370.0
2022-05-07,252197.0
2022-05-08,232268.0
2022-05-09,316006.0
2022-05-10,302095.0
2022-05-13,588487.0
2022-05-14,82520.0
2022-05-15,42590.0
2022-05-16,464060.0
2022-05-17,387644.0
2022-05-18,257750.0
2022-05-19,669810.0
2022-05-20,575604.0
2022-05-21,78130.0
2022-05-22,47580.0
2022-05-23,501230.0
2022-05-24,305240.0
2022-05-25,468220.0
2022-05-26,599400.0
2022-05-27,399020.0
2022-05-28,85010.0
2022-05-29,34000.0
2022-05-30,478775.0
2022-05-31,467818.0
2022-06-01,278070.0
2022-06-02,42000.0
2022-06-03,37310.0
2022-06-04,323510.0
2022-06-05,432410.0
2022-06-06,562784.0
2022-06-07,388192.0
2022-06-08,65030.0
2022-06-09,363247.0
2022-06-10,442280.0
2022-06-13,635597.0
2022-06-14,439118.0
2022-06-15,344457.0
2022-06-16,380797.0
2022-06-17,414758.0
2022-06-18,73360.0
2022-06-19,35690.0
2022-06-20,389043.0
2022-06-21,238224.0
2022-06-22,381131.0
2022-06-23,460865.0
2022-06-24,369450.0
2022-06-25,79050.0
2022-06-26,37380.0
2022-06-27,483082.97
2022-06-28,544712.0
2022-06-29,452637.0
2022-06-30,499019.0
2022-07-01,163920.0
2022-07-02,251490.0
2022-07-03,257160.0
2022-07-04,747630.0
2022-07-05,76750.0
2022-07-06,560416.0
2022-07-07,388026.0
2022-07-08,33890.0
2022-07-09,373379.0
2022-07-10,400451.0
2022-07-13,272723.0
2022-07-14,680394.0
2022-07-15,271140.0
2022-07-16,75670.0
2022-07-17,35630.0
2022-07-18,496044.0
2022-07-19,223949.0
2022-07-20,497820.0
2022-07-21,503696.0
2022-07-22,359922.0
2022-07-23,73610.0
2022-07-24,36880.0
2022-07-25,495584.0
2022-07-26,388225.0
2022-07-27,323256.0
2022-07-28,295029.0
2022-07-29,459557.0
2022-07-30,75130.0
2022-07-31,35190.0
2022-08-01,87980.0
2022-08-02,166260.0
2022-08-03,169050.0
2022-08-04,585040.0
2022-08-05,41050.0
2022-08-06,496511.0
2022-08-07,301980.0
2022-08-08,260254.0
2022-08-09,391722.0
2022-08-10,65190.0
2022-08-13,64390.0
2022-08-14,28970.0
2022-08-15,372347.0
2022-08-16,312023.0
2022-08-17,264216.0
2022-08-18,360793.0
2022-08-19,255903.0
2022-08-20,77250.0
2022-08-21,33090.0
2022-08-22,487834.0
2022-08-23,361064.0
2022-08-24,232022.0
2022-08-25,526561.0
2022-08-26,300382.0
2022-08-27,62330.0
2022-08-28,37120.0
2022-08-29,355439.0
2022-08-30,462304.0
2022-08-31,391359.0
2022-09-01,34870.0
2022-09-02,144030.0
2022-09-03,141220.0
2022-09-04,64670.0
2022-09-05,586280.0
2022-09-06,402545.0
2022-09-07,72570.0
2022-09-08,15900.0
2022-09-09,282101.0
2022-09-10,30970.0
2022-09-13,48410.0
2022-09-14,301850.0
2022-09-15,550960.0
2022-09-16,358505.0
2022-09-17,71090.0
2022-09-18,34610.0
2022-09-19,526804.0
2022-09-20,295492.0
2022-09-21,129220.0
2022-09-22,563452.0
2022-09-23,254617.0
2022-09-24,63310.0
2022-09-25,34180.0
2022-09-26,362474.0
2022-09-27,554418.0
2022-09-28,314198.0
2022-09-29,380687.0
